English	Indo-European	English	en	eng	eng	eng	engs
Abkhaz	Northwest Caucasian	аҧсуа бызшәа	ab	ab	abk	abk	abk
Afar	Afro-Asiatic	Afaraf	aa	aar	aar	aar	aars
Afrikaans	Indo-European	Afrikaans	af	afr	afr	afr	afrs
Akan	Niger–Congo	Akan	ak	aka	aka	aka + 2	
Albanian	Indo-European	Shqip	sq	sqi	alb	sqi + 4	
Amharic	Afro-Asiatic	አማርኛ	am	amh	amh	amh	
Arabic	Afro-Asiatic	العربية 	ar	ara	ara	ara + 30	
Aragonese	Indo-European	aragonés	an	arg	arg	arg	
Armenian	Indo-European	Հայերեն	hy	hye	arm	hye	
Assamese	Indo-European	অসমীয়া	as	asm	asm	asm	
Avar (Avaric)	Northeast Caucasian	авар мацӀ	av	av	ava	ava	ava
Avestan	Indo-European	avesta	ae	ave	ave	ave	
Aymara	Aymaran	aymar aru	ay	aym	aym	aym + 2	
Azerbaijani	Turkic	azərbaycan dili	az	aze	aze	aze + 2	
Bamanankan (Bambara)	Niger–Congo	bamanankan	bm	bam	bam	bam	
Bashkir	Turkic	башҡорт теле	ba	bak	bak	bak	
Basque	Language isolate	euskara	eu	eu	eus	baq	eus
Belarusan (Belarusian)	Indo-European	беларуская мова	be	bel	bel	bel	
Bengali	Indo-European	বাংলা	bn	ben	ben	ben	
Bislama	Creole	Bislama	bi	bis	bis	bis	
Bosnian	Indo-European	bosanski jezik	bs	bos	bos	bos	boss
Breton	Indo-European	brezhoneg	br	bre	bre	bre	
Bulgarian	Indo-European	български език	bg	bul	bul	bul	buls
Burmese (Myanmar)	Sino-Tibetan	ဗမာစာ	my	mya	bur	mya	
Catalan	Indo-European	català	ca	cat	cat	cat	
Chamorro	Austronesian	Chamoru	ch	cha	cha	cha	
Chechen	Northeast Caucasian	нохчийн мотт	ce	che	che	che	
Chinese (Traditional)	Sino-Tibetan	中文 (Zhōngwén)	zh	zh	zh	zho	chi
Chuvash	Turkic	чӑваш чӗлхи	cv	chv	chv	chv	
Cornish	Indo-European	Kernewek	kw	cor	cor	cor	
Corsican	Indo-European	corsu	co	co	cos	cos	cos
Cree	Algonquian	ᓀᐦᐃᔭᐍᐏᐣ	cr	cre	cre	cre + 6	
Croatian	Indo-European	hrvatski jezik	hr	hrv	hrv	hrv	
Czech	Indo-European	čeština	cz	cs	ces	cze	ces
Danish	Indo-European	dansk	da	dan	dan	dan	
Dutch	Indo-European	Nederlands	nl	nl	nld	dut	nld
Dzongkha (Bhutani)	Sino-Tibetan	རྫོང་ཁ	dz	dzo	dzo	dzo	
Esperanto	Constructed	Esperanto	eo	epo	epo	epo	
Estonian	Uralic	eesti	et	et	est	est	est + 2
Faroese	Indo-European	føroyskt	fo	fao	fao	fao	
Fijian	Austronesian	vosa Vakaviti	fj	fij	fij	fij	
Finnish	Uralic	suomi	fi	fi	fin	fin	fin
French (France)	Indo-European	français	fr	fr	fra	fre	fra
Frisian	 Western	Indo-European	fy	fy	fry	fry	fry
Fulah	Niger–Congo	Fulfulde	ff	ff	ff	ful	ful
Gaelic	 Scottish (Gàidhlig)	Indo-European	gd	gd	gla	gla	gla
Galician	Indo-European	galego	gl	glg	glg	glg	
Ganda (Luganda)	Niger–Congo	Luganda	lg	lug	lug	lug	
Georgian	South Caucasian	ქართული	ka	kat	geo	kat	
German	Indo-European	Deutsch	de	deu	ger	deu	deus
Gikuyu (Kikuyu)	Niger–Congo	Gĩkũyũ	ki	kik	kik	kik	
Greek	Indo-European	ελληνικά	el	ell	gre	ell	ells
Guarani	Tupian	Avañe'ẽ	gn	grn	grn	grn + 5	
Gujarati	Indo-European	ગુજરાતી	gu	guj	guj	guj	
